mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
1990Magic,"Good one! Last time I checked, Republicans, not Democrats, control the Senate. They control the schedule, need only 50 votes to confirm.",retweet,"Absolutely nothing. Polls don't mean anything. I don't want Trump to have another term, but Biden is senile as shit. I just want the election over so covid can magically disappear.",quote,"If you’re an American, if you’re a Republican, and you’re not disgusted by Trump’s undermining of US Intellegence Agencies, his dismissal of Russia’s cyber-terrorism against our democratic institutions, and his deference to the murderous Russian leader, YOU ARE A CULT MEMBER.",retweet,"I'm not opposed to #MarriageEquality, far from it. I just think people should recognize no conservative or Republican #POTUS would have",tweet,"I’m still in disbelief as to how ANY woman could’ve supported (or still supports)Trump, knowing he bragged about assaulting women when about 1 in 3 women will be assaulted in her lifetime! He’s a disgusting, misogynistic pig who is completely undeserving of being potus!",tweet,"Trump may win the presidency, even as forecasts show Clinton winning the popular vote. The only college I don't like is the electoral one.",retweet,The elections across the U.S. made history: - The first Native American women were elected to Congress - The first Muslim women were elected to Congress - The first openly gay man was elected as governor - There will be at least 100 women in the House,retweet,"""Take a vote to give millions of the hardest-working people in America a raise."" —Obama to Congress on why it's time to #RaiseTheWage #SOTU",retweet,Donald Trump's anti-Iraq War position wasn't as prophetic as he thinks via,tweet,"It started with a tweet. At 12:54 a.m., hours after news broke that his top aide Hope Hicks had tested positive for coronavirus, President Trump tweeted that he and the first lady had tested positive — just 32 days before Election Day",retweet,0,,,,,,,,,,
7Veritas4,"Ugh! Fascist , election denier &amp;Trump ass kisser @RepJimBanks is rising in power. Does he say he should use his power to help Hoosiers? No.Because this weasel doesn’t care a rats ass about Hoosiers. He talks about blocking Biden. Not helping us. Indiana GOP is full of assholes",tweet,"@laurenboebert The policies @POTUS and Democrats put forth, that you and Republicans VOTED NO on everything to help the American people? @LeaderMcConnell instructed all of you to do, to block progress? Those policies? 🛑🤥🙄",retweet,"This is US Marine Trevor Reed, who Biden got released from Russia. His release was delayed by Republicans like Marjorie Taylor Greene. He said Trump failed to fight for his release &amp; Russians are “big fans” of MAGA. Remember this as you see GOP outrage over Brittney Griner.",retweet,"Republicans voted to raise the debt ceiling for Trump — not once, not twice, but 3 times. But now there's a Democrat in the White House, they don't want to raise it again. It’s a con to create economic chaos, and we shouldn’t fall for it.",retweet,"They lose elections, keep churning up conspiracy theories, lose more elections, spew even more bizarre nonsense inside their bubble, keep losing elections, double down on Trump, continue losing elections, get even crazier, watch Biden’s approval ratings go up, and go bonkers🤣",retweet,"Senator, how can a state that would be in favor of this great bill vote in such large numbers for a candidate like Lake ( or Trump). Does an element of charisma outweigh logic? The GOP platform would send these children to another country, not help them get an education. I",reply,"WOW: in just two years, President Biden &amp; Democrats have confirmed more federal judges than Trump &amp; Obama combined based on new reporting. Even better: those judges are more racially &amp; professionally diverse. A huge win for our rule of law &amp; democracy. Thank you, President Biden.",retweet,"Biden visiting Ukraine makes him the first president to visit an active war zone in territory not controlled by the U.S. military. As president, Trump wouldn’t visit the graves of fallen American WWI soldiers because of some light drizzling.",retweet,Our elected officials work for all of their citizens &amp; should tell us if they stand with Trump or with the rule of law on this issue. I'd like to hear from mine: @SenShelby We should hear from them publicly on such a critical issue.,retweet,"BREAKING: the Senate just voted to avert a rail strike that would've started on December 9th, which is undoubtedly a big victory for Democrats and President Biden. But I don't want anyone to forget that 43 Senators just denied rail workers 7 days of paid sick leave.",retweet,0,,,,,,,,,,
90sdora,"Please rt. A group of students in Louisiana were told they were going to a college fair and were taken to an anti-LGBTQ+ church service. The girls were told that they should forgive their abusers, the boys were forced to do push-ups in the smoldering heat with no water. Trans +",retweet,"announcing ticket sales 4 days before the date, only 2 shows announced in america so far after 9 months of waiting, multiple articles saying they would tour 6-7 cities AND multiple countries, 127 touring 4 countries in EIGHT months 😭 this is the messiest tour",retweet,"If the US is really worried about variants and the spread of COVID through travel, it should require negative tests for all travelers, no matter where they come from, and require masks. Targeting single countries with bans and requirements is ineffective and racist.",retweet,TW: Infant Mortality A pregnant Black Women is in URGENT need after contracting COVID. She’s already high risk and needs extra time to heal but doesn’t have the funds to take time off work. PLEASE DO NOT IGNORE THIS IF YOU HAVE A HEART. BW have high pregnancy mortality rates.,retweet,sometimes people do not answer by raising their hand because they are afraid of sounding stupid or speaking incorrectly or social anxiety . small group discussions may work better for people to speak their opinions,retweet,"Those saying that walking out of a whitecoat ceremony to protest a vocally anti-abortion speaker is ""unprofessional"" are the same people who help anti-abortion people get and maintain positions of power. ""Professionalism"" maintains status quo which never serves the oppressed.",retweet,ICE is on the scene of a shooting that took place in a heavily Hispanic school so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive. What a fucking country.,retweet,40% of teen pregnancies in 15 y/o girls involve a fathering man who is 20-29. It is never lost on me that the conversations surrounding teen pregnancy are always about the promiscuity of teenage girls and not the violence of older men,retweet,"Over $300,000 was raised in 1 day for the 17 yr old sex trafficking victim ordered to pay 150,000 to the family of the man who sexually violated her. I bet the Iowa judge responsible for that sentence is shooketh. Their aim was to criminalize &amp; stigmatize her 4 life. They failed.",retweet,"I think the funniest thing about this tweet is the idea that if Black people were nicer, we’d get reparations. The fact that we havent blown up the Royal Palace, the White House or any other symbols of our oppressors is extremely nice of us, we are VERY nice to you people.",retweet,0,,,,,,,,,,
AAmirKh50764293,"Thank God there are NO elections or politics in Heaven. Jesus is not a Republican nor a Democrat. The government shall be upon his shoulder: His name shall be called Wonderful, Counselor, The mighty God. King of Kings &amp; Lord of Lords. We owe our ultimate allegiance to Him alone.",retweet,"Thank God there are NO elections or politics in Heaven. Jesus is not a Republican nor a Democrat. The government shall be upon his shoulder: His name shall be called Wonderful, Counselor, The mighty God. King of Kings &amp; Lord of Lords. We owe our ultimate allegiance to Him alone.",retweet,We are citizens of heaven governed by God Almighty so we fear not but praise Jesus Christ in every situation because no matter what our redeemer is coming back !amen,retweet,"2 in the Down the Lane series ""If Chris is put on the shelf, you need to step up and lead the war against the Knights MC."" ""Flash, we'll be breaking the biggest rule. I'm not even a member."" ""What rules? We're fucking gangsters. We broke every rule to get here.""",retweet,Pakistani student Adil Rahoo has become the first-ever international and Pakistani student to have been elected as the president of Glasgow Caledonian University,retweet,"Both coward morons are now behind the bars, they are nasty scars on the face of humanity particularly Pashtuns, they beat up their mother &amp; sister with helmet &amp; hammer brutally when they demanded their due rights. This is sad state of woman in our society.",retweet,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!?? Anthony Fauci has to answer some questions! #vaccine #vaccineinjury #vaccinedeaths",retweet,"Those who are born again from incorruptible seed being are new creatures in Christ, dead to sin. We are the righteousness of God through Christ. God does not see us as sinners, rather as joint heirs with Jesus Christ...his children holy temples for his Spirit.",reply,"It's not much to ask for. I want solid healthcare, some nice roads and infrastructure, world class education, good social services, and a safety net for those less fortunate. You know, all the stuff that we pay taxes for. Not subsidies and tax breaks for the rich.",retweet,"Lord we pray for those who are set against us as foes to do us harm in any way🇺🇸🌏🕊🙋🏼‍♀️we seek Your counsel🙏Your Mighty Right hand 😎🤓show us the way! Isaiah 🎺🙏TPT 32:18 My people will live free from worry in secure, quiet homes of peace.",retweet,0,,,,,,,,,,
AWWLitMag,"Please let the fact that this is going to end up being close disabuse us of the notion that Trump was a fluke or that he doesn't represent a real, deep seated throughline in America and American ideology. That requires real work to address, work way beyond voting.",retweet,I’m getting a lot of angry MAGA people shouting that “the mass graves are not Trump’s fault!” YES. THEY ARE. The coronavirus is not Trump’s fault. But our government’s HORRENDOUS response to it is 1000% Trump’s fault. Let’s run through what is INDISPUTABLY Trump’s fault:,retweet,"While Trump received over $100,000 in free government health care for himself, he's attempting to throw 20 million Americans off their health care. Yes. Trump, the self-proclaimed billionaire, believes in government help for himself, but rugged individualism for everyone else.",retweet,"look, i'll vote for the democratic presidential candidate in the general election. whatever. but the fact that they narrowed THAT field down to THIS candidate is the biggest fucking self-own, wow. there is nothing more scathing i could say about the party than: they did that.",retweet,"BREAKING: Trump says he is halting funding for the World Health Organization. During the height of a pandemic, where we are the hardest hit country. Trump is absolutely ridiculous and insane.",retweet,"Why is it so hard for some Democrats to understand that it is possible to be 100% against Donald Trump, but also disappointed in the Democratic party for actively opposing the fundamental change we need to heal this nation?",retweet,Americans need a better understanding of how our political culture relies on intentional stigmatization of socialism to build the feeling that it’s the worst political outcome possible. Even caution about socialism from moderately pro-socialist liberals is informed by this.,retweet,"The people who need social supports and accomodations are the same ones least able to navigate the convoluted systems we have in place. Instead of recognizing this, the narrative is ""If they want help they should apply"" ignoring the fact they lack the ability to.",retweet,"Today, Joe Biden told a voter that he was “full of shit.” Centrist Democrats are praising him for it. I would just like to point out that if Bernie Sanders did the same thing, centrists would be clutching their pearls and calling him “toxic.”",retweet,"Trump, who decries carefully fact-checked reporting as ""fake news"" has just retweeted an article by an actual fake news satire website that makes stuff up for laughs. It's the Christian version of The Onion. The world's best information is available to him and he falls for satire",retweet,0,,,,,,,,,,
AaronImholte,"@benshapiro I dislike Donald Trump, but Joe Biden is so much worse. He has destroyed this country in two years and now we are paying for it. I work in the medical field full of liberals and even they are saying they will never vote democrat again. Maybe they are just saying that but still.",reply,It won't be to long after the elections they start turning on Biden and each other. The democratic Lt. Governor in Georgia endorsed the Republican gubernatorial candidate. Let's see how long that guy lives once Hillary Clinton finds out.,reply,"@PressSec @POTUS It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he forgot to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@elonmusk I'll turn that shit around in 90 days. I would ban every political figure on both sides, every person in media, and anyone who puts a Ukrainian flag and pronouns in there profile. No more Trump, no more Biden, and nor more AOC. It would be a utopia of conversation.",reply,"@SenSanders It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@JackPosobiec It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@Timcast It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,"@gregkellyusa It was actually a new election denier AI bot the democrats are testing, it comes after families and friends of election deniers. The engineer came out 10 mins ago and said he for got to set it to ""Republicans Only Mode"". He apologized and said he Jan 6th denial bot won't do this.",reply,0,,,,,,,,,,
AdamParkhomenko,Obama didn’t spy on Trump Russia was not a hoax Trump didn’t win the 2020 election Rittenhouse is a murderer Biden isn’t the reason gas prices or inflation are high Trump tried to extort Ukraine and overthrow the U.S. government and Republicans assisted him both times,retweet,"If Trump had succeeded last year, his vice president would have refused to count election results while his supporters physically overpowered Congress from doing anything. But yeah, it’s Biden who wants a “one-party state.”",retweet,Mike Pence is not a hero. Mike Pence tried to do everything possible to prevent Joe Biden's lawful election. Mike Pence called former VP Dan Quayle to ask HOW to do what Trump wanted. Quayle told him all he could was follow the law. And that's what he did. Not a hero.,retweet,"@CNN right now entire segment about Difficulty of Democrats to hold the Senate , not one word about the Republicans ability to win the Senate . While we watched the 1/6 Attack and the majority of GOP supporting the Big Lie . Yo @CNN sound like a #Fox propaganda hit .@MSNBC",retweet,Ginni Thomas in 2018 complaining about liberals forming a “Resistance” against Trump: “Are we losing the civility of legitimate elections - a duly elected president being able to govern?”,retweet,The Dominion Voting System $1.6 billion lawsuit isa revealing that Fox News hosts KNEW Trump's election claims were false yet they kept lying on air. This lawsuit needs to bankrupt Fox News and eradicate them permanently. Just like Alex Jones being bankrupted for his vile lies.,retweet,"“Instead of bowing to election-year pressures or the anti-immigrant tactics of the right, Democrats must support President Biden’s commitment to end Title 42 restrictions immediately and without delay.” My Op-Ed on Title 42 this morning in",retweet,"I don’t believe pundits and media, in general, mention enough how 147 GOP members of Congress voted against certifying the 2020 election for President Biden. Perhaps more focus should be placed upon it.",retweet,Mitch McConnell does not want you to retweet the new ad from Democrat Mike Franken who is running against Chuck Grassley for US Senate. If they lose in Iowa they are in a world of hurt and Mitch will never be in charge of the Senate again.,retweet,"News: A GOP county official in Georgia, who served as a fake elector, escorted 2 operatives working wi/ Trump lawyer Sidney Powell into the county's election offices on same day voting system there was breached, per newly obtained video. Story w/",retweet,0,,,,,,,,,,
AlmReem,"Pog for my America welcome to the future of politics! Democrats did it now republicans did it, only a matter of time till its back and forth permanently",reply,I wish that celebrity &amp; influences could be openly republican without backlash but unfortunately it’s only democrats that are allowed to be since social media has told us 100s of times a day left = good right = bad,reply,Yeah us republicans want the population to be uneducated so they can riot and loot whenever we tell them to even if some critical thinking would make them think twice....oh wait that’s democrats,reply,You realize Obama put more kids in immigration camps then trump right?,reply,Democratic Socialists of America National Convention 2019,retweet,Nick Cannon is receiving A LOT of support for calling white people soulless subhuman savages. Anti-white racism is not only acceptable but celebrated. It is the only form of mainstream racism and anyone who pretends to fight racism but ignores this is a cowardly fraud.,retweet,I mean I condemn it and I’m a republican/ trump supporter,reply,@AOC Ayyy respect man you got the fake news right here &amp; spreading it! I’m sure cnn would be so proud of you as an anti racist gender fluid socialist progressive,reply,Damn but when it’s a republican it’s #believeallwomen ? Y’all true colors are showing on your reaction to this and it’s pretty disgusting but nothing unexpected nowadays in politics the double standard is real,reply,Damn but when it’s a republican it’s #believeallwomen ? Y’all true colors are showing on your reaction to this and it’s pretty disgusting but nothing unexpected nowadays in politics the double standard is real,reply,0,,,,,,,,,,
AngelaMaiers,Retweet if you're a principled conservative who will never support a Republican Senator who votes to acquit Trump. Let's show them we're watching.,retweet,"“Haley is in the same position as all these other Republicans who jumped on the Trump Train,” said Chip Felkel, a longtime South Carolina GOP strategist. “Some of this shit, you can never get clean from it. People will remember.”",tweet,Donald Trump running for President again? I was the one walking over broken glass at 4 a.m. after the Jan. 6th insurrection with pages carrying the mahogany boxes of electoral ballots. Democracy prevailed that day. We will not go backwards and descend into his chaos again.,retweet,Why the Whole Trump-Clinton Election Could Probably Just Be Held in Pennsylvania,tweet,President Trump Makes Special Long-Distance Call to Record Breaking American Astronaut via NASA,tweet,Brutal Hillary Clinton montage uses GOP rivals' attacks on Donald Trump against him via,tweet,Sounding Code Red: Electing the Trump Resistance via @NYTimes,tweet,What Trump's been saying about the judge in his Trump U case is disgusting. Just ask Republicans.,retweet,"I think if the Trump-inspired terrorists repeat their attacks on America next weekend, then failing a strong disavowal from Trump, they may very well guarantee a guilty verdict for the imminent impeachment.",tweet,A shameless family of thieves. Melania Trump’s Speech steals from Michelle Obama’s in 2008,tweet,0,,,,,,,,,,
AprilE1971,New Hampshire state lawmakers voted against a bill crafted by fourth graders to make the New Hampshire State...,tweet,BREAKING: We did it! The Senate just voted to protect #NetNeutrality. But our work isn't over. It's time to take the vote to the House.,retweet,BIC has donated 2.5 Million writing instruments to schools in need during the company's 2022 Global Education Week. Help them reach their goal of 3M donations by liking or re-sharing their social post! #BICCauseWeCare #bicpartner,tweet,Just saw Liliac is one of the bands videos submitted for Jovi tour They are awesome!!! Wish we could vote,reply,"I just earned 40 Swag Bucks for completing the Survey on the Economy, Personality, and Attitudes task on...",tweet,President Obama suggested that it is time to make voting mandatory. Do you think that voting should be mandatory?,tweet,Project # 2 - Social Issues for the Mad Men DVD/Blu-ray Contest has arrived!,retweet,I just took action &amp; told my members of Congress to #LiftTheBan on U.S. crude oil exports! Join me:,tweet,"Strap on your fanny packs, your fave 90s drink is turning 30! 🥳 Post a pic of you from the 90s using #ShowUsYour90s + #PepsiSweepstakes for a chance to be 1 of 300 to win Crystal Pepsi. No Purch. Nec. Ends 1/6/22, 9am. 50 US/DC res only, 18+ (19+ in AL/NE). Not Avail. Retail",retweet,69% of U.S. parents believe their kids need a college degree or more to achieve the American Dream. Agree or...,tweet,0,,,,,,,,,,
