tweeet_1_type,tweeet_1_text,tweeet_2_type,tweeet_2_text,tweeet_3_type,tweeet_3_text,tweeet_4_type,tweeet_4_text,tweeet_5_type,tweeet_5_text,tweeet_6_type,tweeet_6_text,tweeet_7_type,tweeet_7_text,tweeet_8_type,tweeet_8_text,tweeet_9_type,tweeet_9_text,tweeet_10_type,tweeet_10_text
tweet,@_LoveLike_JESUS Amen jesus hail mother mama mary,favorite,@700club Amen jesus,tweet,@Tex_2A @rahul55716155  @jovis_rahul  Follow me,favorite,@christianamillr Christiana shall i join with you too on preaching gods word.,tweet,@700club Amen jesus,tweet,@_LoveLike_JESUS Amrn jesus,tweet,@geshepjr Amen jesus,tweet,@Leerose1985 Whats the name of the dish? Its tasty,favorite,@demilynne701 Album remastered from john lenon right,tweet,@RudyCerda Amen jesus
tweet,Hell yeah! https://t.co/d3IMZExycC,favorite,"Hey Google, thanks for the snail mail? http://t.co/x490DyIPOH",tweet,"@j_houg She’s doing pretty good! A frequent attendee of my meetings, and she’s not reluctant to share her perspective or to talk over me.",favorite,@trent_hauck At least you’ll never have to worry about that from me. 💅🏻,favorite,Stand by for more puns.,retweet,There is nothing more upsetting than watching a good friend go through a dubstep phase,tweet,lol please that's my father's name! http://t.co/s8AN7hoLKy,retweet,There is only one ideal dance partner &amp; it is an empty apartment,tweet,Now we just gotta do it at places people want to work! https://t.co/vTFF9FhkVT,tweet,@wgrus your breakout performance?
tweet,Can’t wait to play @TurfClubMN on Saturday.,tweet,"buying stuff today? This record, only available digitally to date, is coming on vinyl early 2021. Run is limited to… https://t.co/hHsIbgOAJx",tweet,@beaunoise @danielholter collaborators are lenses and mirrors- love blasting light around with y’all,tweet,@MADEOFOAK Thanks nick— that’s @ThomWolfe,retweet,"Have you ever wanted to pick a @fieldreport setlist? 

Members of our newsletter are helping us pick the songs for… https://t.co/t2EEuc9ePd",tweet,@EC_Mike YES,tweet,i feel our latest output shares a creative and spiritual kinship with springsteen's western stars and you slept on em both,favorite,also - way into the fact that the most common list peer i’ve casually obvserved is Kasey Musgraves. I love that rec… https://t.co/p5uNDPHRz8,retweet,"This beauty is getting a very limited  vinyl release

Field Report, Brake Light Red Tide. 

You can pre-order it he… https://t.co/xq3FehKKIi",tweet,Ian is an invaluable creative partner and will wrangle your mess and meet your deficits with a deep well https://t.co/NzFjvyDiyy
retweet,My 16 yr old is pulling herself out of public school to do online learning. She can’t handle how the school is focu… https://t.co/yMr4RipaOM,retweet,"Disney has lost $150 billion in value in the last 8 months.

That's what happens when you go woke.",retweet,The 10 year old raped by an illegal is the fault of Biden and the Left. They’re the ones who established a cross-bo… https://t.co/KsxEQHztas,retweet,I just filed articles of impeachment against Merrick Garland. https://t.co/WbNDWjItr3,retweet,Has anyone figured out why Paxlovid is needed if the vaccine works?,retweet,The #TrumpWarrant violated the overbreadth doctrine of the 4th Amendment requirement of particularity. The judge cl… https://t.co/64cpXJK7ED,tweet,@24tog Our Cooper. https://t.co/YxFYsGwygW,retweet,So my 26 year old son was incentivized by his employer to the tune of $500 to get the vaccine. So he did and it was… https://t.co/U7574eeHu9,retweet,Folks: Yes I am absolutely comfortable with my tax dollars paying for drag performers in school events for the enti… https://t.co/WyXdK697Ov,retweet,There’s no excuse for plummeting GDP coming out of a pandemic other than totally incompetent leadership.
tweet,"@tedcruz They didn’t teach subtleties and innuendoes at Harvard, Rafael? He’s trying to be civil and polite when wh… https://t.co/8JXy7gEnuz",tweet,@OrwellMatters76 @Leslieoo7 @dghodgson I cannot figure out what point you are trying to make here.,tweet,@YasOrtiz @joshmerbitz @ToddJobson @NickForVA @JackPosobiec Do you have some research to support this statement?,tweet,I hope she sues @Walmart https://t.co/60Zc2RNGZ6,tweet,@MelBaggers @chungus1999 @ChristianWalk1r No they do not.,tweet,@RDante1234 @pullum_tony @TheLeoTerrell Lost cause.,tweet,"@ClayTravis You’ve got some growing to do, Clay.",favorite,@kathygriffin Wishing you comfort. 💙💙💙,tweet,@Winning4Him @insanetruckdriv @MarshaBlackburn What do you do in your life that requires an equalizer? I’m also 5’3… https://t.co/e7ERRDqP6q,tweet,@ThisIsKyleR You’re only alive because you’re white. Scum of the earth murderer.
retweet,"These are difficult days for our city and our country. But I want to take a moment today, on our city’s 239th birth… https://t.co/y3Ox7LDad8",retweet,"Dodger Stadium COVID-19 testing site is open, along with nearly 100 other City, County and private provider testing… https://t.co/07U1HMtYCK",tweet,"The Grammy Museum's new exhibit, Songs of Conscience, Sounds of Freedom is a must see! It's open now through 5/8. C… https://t.co/T6TEAXK25c",retweet,Have you heard @theheavyheavyuk's single “Miles and Miles” on the radio? It’s rising up the charts! Tickets are sti… https://t.co/frAs7Pp1Mh,retweet,"The @TheB52s are heading to the
@youtubetheater on Friday, November 4 for their
Farewell Tour. Tickets on sale at… https://t.co/1QFDbOeJ00",tweet,"Do NOT miss out on @RiotFest this year. See @nineinchnails, @themisfits, &amp; @MCRofficial by Entering to Win a VIP trip to the fest: Two VIP Tix, $600 Towards Travel, &amp; Two-Night Hotel Accommodations. https://t.co/SIIDY43b9U https://t.co/RRFhcmfMwH",tweet,"New month, New meals! 

From Santa Monica's Cult to WeHo's Gozen Bistro, take a look at the best new restaurants in… https://t.co/rQcTvdWyk0",tweet,"Beach PLEASE! 😅  Rhonda is heading to Antigua this June! 🌴 Enjoy a room with a view and music from Bob Moses, Carl… https://t.co/C76dODo49w",tweet,"It's a #Snowpiercer takeover! From now until Jan. 27, @RandysDonutsLA is offering free Snowpiercer donuts to the fi… https://t.co/NHCioK1kof",retweet,"digital mirage 2 was another resounding success

$70k raised for equal justice initiative, color of change, and per… https://t.co/5t9LDq74Ro"
tweet,"It's ""convenient"" in large part because the mayor &amp; DOT refuse to make it easy and viable for companies to offer yo… https://t.co/INIS18gBYK",retweet,"Just spoke to a doorman about the 12th street #bikenyc lane. How do people feel? “Now that it’s in, it’s ok. There’… https://t.co/0xbIzVkKls",tweet,@FLYINGCHOPSTIK @HildaBikes @_GoRevel Guarantee you @_GoRevel can identify the rider if you have time and location… https://t.co/V4ciN6exQt,retweet,"I feel like a broken record, but if the mayor truly thinks the science says masks are important on transit, masks s… https://t.co/juPFpgrtvm",retweet,"1. The overwhelming majority of people who live in public housing do not own cars.
2. The overwhelming majority of… https://t.co/H0GP7qcGW6",tweet,"How to greenwash a big box store on fringe of a megacity:
1 Plant native vegetation on store roof (50% of site
2 Put park amenities on top of parking garage (30% of site)
3 Pitch to Fast Company that whole store is under a park
https://t.co/GgAXd09zRH
IRL: https://t.co/2rwGAA3yly",favorite,Hmm except that you're no longer also competing against the whole of New Jersey and every tourist family dumb enoug… https://t.co/dsdoeMWUoG,tweet,Rebalancing is prob toughest problem in bikeshare &amp; competition is great for solving tough problems. Go Seattle. No… https://t.co/qJL6Pty93M,tweet,"The Landwasser Viadukt opened in 1903. The structure is such an engineering feat, that it operated for 107 years be… https://t.co/ScJMXyCl8l",tweet,"Fitting that it is Epiphany, given all that's been revealed today..."
tweet,@cheekfaceREAL This rules,tweet,who needs a job. serious inquiries only,tweet,king taco &gt; in-n-out,tweet,@typesfast At least someone’s got a plan. Stay on it Ryan - lot of people depending on this issue resolving,tweet,That Sprint/Verizon guy is the pale horse of capitalism,tweet,how rich is this pinkfong company?,favorite,@mexicansummer does the Weyes Blood lp come w mp3s?,tweet,"v excited to listen to this for the first time this morning:
Night of the Worm Moon by Shana Cleveland https://t.co/nMa9koWTfq #NowPlaying",tweet,lifes too short to sign non competes,tweet,@whydogswhy Strong disagree. Always been a joint stub in potted plant believer
tweet,@MiiyuLabs @weareangelcity,tweet,@CalebFrankel @erica_wenger @giftearlybird Have all my upvotes,tweet,@jim_nft @NWSL @JessicaBerman1 The great women of the @NWSL out here working on the weekend too! 🏆😁,tweet,"This is one of my favorite @alexmorgan13 cards — the liquid auction on ALT just started

https://t.co/QpsGlRgzqn https://t.co/VJFkarxQdQ",tweet,@melfugazzotto This is the way,favorite,"@km @youngthegiant Thanks, dude! put in a good word and give him my info — no need to go above &amp; beyond that!",tweet,So happy to have this arrive today! Love @GoodInside https://t.co/A8i5rLHXxt,favorite,@ohhshiny I AM READY,tweet,This is beautiful! Thanks for sharing with me @JoshFabian ! https://t.co/Uqx6aaNwV2,tweet,"Some lucky person is gonna win this @JoeyB RC 💎 from me, currently for auction on @goldinCo — good luck… https://t.co/8nMe7gPQSx"
retweet,.@JoanJett put on an unforgettable show here at the @SSMF Kickoff Party! Check out these great photos by Joe Lester: http://t.co/oEvW9KpuPk,retweet,Have your Sunset Strip Music Festival tix? 18 days til the street fest! http://t.co/dZ4fg5hr1a via @eventbrite @ssmf #la,retweet,@SunsetStripFest Soundcheck @Slash and @theFergie !!! http://tweetphoto.com/41991054 #SSMF,tweet,“My big brother used to tell me about #TheStrip... where artists like #JanisJoplin &amp; #JimMorrison blew people’s minds.” - #PerryFarrell,tweet,Wow! Congratulations! RT @nikkisixx: So Honored to be part of The Annenberg Space for Photography...http://prn.to/mtNGBZ,tweet,What happens when @fareastmovement's set changes? Street team to the rescue! #DirtyBass  http://t.co/2bMMqozO,retweet,"Please RT:
@Patience_Price will be performing at @TheRoxy for the #SunsetStripMusicFest
(@SSMF) on 8/3/13
@OldScratch http://t.co/99ZpdGHa3D",tweet,"Funny vid by @rundevilrun w/ @loveanda38 @gpstheband @warnerdrive & cameos by @nicadler, friends of @thesunsetstrip http://t.co/gCvYhJU",tweet,"And the winner of the pair of GA tix to 8/20 Street Fest is... @Cappie616. Congratulations, Stephanie! Please DM us your email address.",tweet,@tawniejaclyn Just saw Whisky post on FB they only have VIP tix left for @manzarekkrieger. Might need to pull trigger http://tktwb.tw/mdhwgR
